Class Label,Class Number,Quantity
Double Socket,6,10
Low Energy Downlighter,16,9
Radiator,23,5
Low Energy Pendant Light,17,4
Light Switch,15,6
External Wall Light,8,3
Outside Tap,20,2
Mains Wired Smoke Detector,18,1
Grid Switch,12,1
Programmable Room Thermostat,22,1
Telephone Socket,28,1
USB Double Socket,31,2
Electric Meter Box,7,1
Gas Meter Box,11,1
Ceiling Mounted Continuous Extract Fan With Boost Mode Activated By Light Switch,2,1
Single Socket,26,1
Cat 6 Data Socket,1,1
Oven Switch,21,1
Total,,51
